epoch,train_loss,train_bbox,train_cls,val_map50_95,val_map50,val_mar100,val_precision,val_recall,lr
1,5.608960088652799,2.601362078381956,3.0075980089375265,0.033162519335746765,0.08799100667238235,0.12109044194221497,0.2849570462438311,0.22154327128037515,0.002
2,4.69907776298819,2.0223667533450462,2.6767110109764594,0.06242232769727707,0.13820677995681763,0.17011739313602448,0.5159744408945687,0.2295012079010942,0.002
3,4.2634596568867105,1.7492959394870733,2.514163713209217,0.08500713109970093,0.17704398930072784,0.1967691332101822,0.5904761904761905,0.2555066079295154,0.0002
4,4.185051990028822,1.7023817888543749,2.482670202045184,0.08803386986255646,0.18083618581295013,0.2041144073009491,0.571950106480073,0.2671593008384255,0.0002
5,4.124017769548616,1.6667279862862312,2.457289782269201,0.09250989556312561,0.18758998811244965,0.20838600397109985,0.5884555382215289,0.2680119369049311,2e-05
